What is your gender? (Optional),"Would you consider yourself having had a technical background, either in education or work experience? (Optional)",Are you employed in crypto? (Optional),What region are you staking from? (Optional)
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"Yes, crypto is my full-time job",Europe
Male,Strongly technical,I do some freelance or contract work but have another main source of income,North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, but I work in a related field",North America
Male,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, but I work in a related field",North America
Male,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Somewhat technical or just as a hobby,"No, but I work in a related field",North America
Male,Strongly technical,"Yes, crypto is my full-time job",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"Yes, crypto is my full-time job",East Asia
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Not technical,"Yes, crypto is my full-time job",Europe
Male,Strongly technical,I do some freelance or contract work but have another main source of income,North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Southeast Asia
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, but I work in a related field",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"Yes, crypto is my full-time job",Europe
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Australia (continent)
Male,Not technical,"Yes, crypto is my full-time job",Southeast Asia
Male,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",Australia (continent)
Male,Strongly technical,"Yes, crypto is my full-time job",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, but I work in a related field",Southeast Asia
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, but I work in a related field",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Not technical,"Yes, crypto is my full-time job",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Somewhat technical or just as a hobby,"No, but I work in a related field",Europe
Male,Somewhat technical or just as a hobby,"No, but I work in a related field",East Asia
Male,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",Australia (continent)
Male,Somewhat technical or just as a hobby,I do some freelance or contract work but have another main source of income,North America
Male,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"Yes, crypto is my full-time job",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Western Asia
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Somewhat technical or just as a hobby,"No, but I work in a related field",Europe
Male,Strongly technical,"Yes, crypto is my full-time job",North America
Male,Strongly technical,"Yes, crypto is my full-time job",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"Yes, crypto is my full-time job",Australia (continent)
Male,Somewhat technical or just as a hobby,"No, but I work in a related field",Europe
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Not technical,"Yes, crypto is my full-time job",Not sure / I'm not the operator
Male,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",North America
Male,Strongly technical,"No, but I work in a related field",Australia (continent)
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,I do some freelance or contract work but have another main source of income,North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"Yes, crypto is my full-time job",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Not sure / I'm not the operator
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, but I work in a related field",North America
Male,Strongly technical,"Yes, crypto is my full-time job",Europe
Male,Strongly technical,"No, but I work in a related field",Europe
Male,Strongly technical,"Yes, crypto is my full-time job",North America
Male,Not technical,"Yes, crypto is my full-time job",Europe
Male,Strongly technical,I do some freelance or contract work but have another main source of income,Australia (continent)
Male,Strongly technical,"Yes, crypto is my full-time job",Europe
Male,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",Europe
Male,Strongly technical,"Yes, crypto is my full-time job",Australia (continent)
Male,Somewhat technical or just as a hobby,I do some freelance or contract work but have another main source of income,East Asia
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Western Asia
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Somewhat technical or just as a hobby,"No, but I work in a related field",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",East Asia
Male,Not technical,"Yes, crypto is my full-time job",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",East Asia
Male,Strongly technical,"Yes, crypto is my full-time job",
Male,Strongly technical,"No, but I work in a related field",Europe
Male,Strongly technical,"Yes, crypto is my full-time job",Europe
Male,Strongly technical,"No, but I work in a related field",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",East Asia
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, but I work in a related field",Australia (continent)
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",North America
Male,Strongly technical,"Yes, crypto is my full-time job",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, but I work in a related field",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"Yes, crypto is my full-time job",Europe
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Not technical,"Yes, crypto is my full-time job",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Australia (continent)
Male,Strongly technical,"No, but I work in a related field",Europe
Male,Strongly technical,"Yes, crypto is my full-time job",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",West Africa
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, but I work in a related field",
Male,Strongly technical,"Yes, crypto is my full-time job",Europe
Male,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",Europe
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",East Asia
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Somewhat technical or just as a hobby,"No, but I work in a related field",Europe
Male,Somewhat technical or just as a hobby,"No, but I work in a related field",Europe
Male,Strongly technical,"Yes, crypto is my full-time job",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,I do some freelance or contract work but have another main source of income,Europe
Male,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",Europe
Male,Strongly technical,"Yes, crypto is my full-time job",North America
Male,Strongly technical,"Yes, crypto is my full-time job",
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Southeast Asia
Male,Strongly technical,"Yes, crypto is my full-time job",Europe
Male,Strongly technical,"No, but I work in a related field",Europe
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",Southeast Asia
Male,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",Europe
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"Yes, crypto is my full-time job",Europe
Male,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Somewhat technical or just as a hobby,I do some freelance or contract work but have another main source of income,North America
Male,Strongly technical,I do some freelance or contract work but have another main source of income,Europe
Male,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",East Asia
Male,Strongly technical,"No, but I work in a related field",Europe
Male,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",South Asia
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",East Asia
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",Europe
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"Yes, crypto is my full-time job",North America
Male,Strongly technical,"No, but I work in a related field",North America
Male,Somewhat technical or just as a hobby,"No, but I work in a related field",Europe
Male,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",Europe
Male,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",East Asia
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",East Asia
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, but I work in a related field",
Male,Strongly technical,"Yes, crypto is my full-time job",South America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Southeast Asia
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"Yes, crypto is my full-time job",North America
Male,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",Southeast Asia
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Central Asia
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Southeast Asia
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Southern Africa
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"Yes, crypto is my full-time job",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"Yes, crypto is my full-time job",North America
Male,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Somewhat technical or just as a hobby,"No, but I work in a related field",Southeast Asia
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Australia (continent)
Male,Strongly technical,"Yes, crypto is my full-time job",East Asia
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Australia (continent)
Male,Not technical,"Yes, crypto is my full-time job",Europe
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Australia (continent)
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",
Male,Not technical,"Yes, crypto is my full-time job",Not sure / I'm not the operator
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Somewhat technical or just as a hobby,,North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Not technical,"No, but I work in a related field",
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Western Asia
Male,Strongly technical,"Yes, crypto is my full-time job",Europe
Male,Strongly technical,I do some freelance or contract work but have another main source of income,Central Asia
Male,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Male,Strongly technical,"Yes, crypto is my full-time job",Europe
Male,Strongly technical,I do some freelance or contract work but have another main source of income,North America
Male,Somewhat technical or just as a hobby,"No, but I work in a related field",South Asia
Male,Strongly technical,"Yes, crypto is my full-time job",Europe
Male,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Male,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",North America
Male,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Other,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",Europe
Other,Strongly technical,"Yes, crypto is my full-time job",North America
Other,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",
Other,Strongly technical,"No, but I work in a related field",Europe
Other,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Other,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",
Other,Not technical,,
Other,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",Europe
Other,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Other,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",
Other,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Other,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Other,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
Other,Strongly technical,"No, but I work in a related field",Central America
Other,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Other,Not technical,I do some freelance or contract work but have another main source of income,North America
Other,Strongly technical,I do some freelance or contract work but have another main source of income,Europe
Other,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
Other,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Southeast Asia
Other,Strongly technical,"Yes, crypto is my full-time job",Europe
Other,Strongly technical,"No, but I work in a related field",Europe
Other,Strongly technical,"No, but I work in a related field",Europe
Other,Somewhat technical or just as a hobby,I do some freelance or contract work but have another main source of income,North America
Other,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",Central America
Other,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",
Other,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Central America
,,,
,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",North America
,,,
,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",North America
,Strongly technical,,North America
,Strongly technical,"Yes, crypto is my full-time job",Europe
,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",
,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",
,Strongly technical,"No, but I work in a related field",Europe
,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",
,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",
,Strongly technical,I do some freelance or contract work but have another main source of income,North America
,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",North America
,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
,Strongly technical,I do some freelance or contract work but have another main source of income,Europe
,Strongly technical,"No, but I work in a related field",North America
,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",North America
,,,
,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",
,Somewhat technical or just as a hobby,,
,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
,,,
,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Australia (continent)
,Strongly technical,"Yes, crypto is my full-time job",
,Strongly technical,"No, but I work in a related field",Southeast Asia
,Strongly technical,"Yes, crypto is my full-time job",
,,,
,Strongly technical,"Yes, crypto is my full-time job",Europe
,Strongly technical,"No, but I work in a related field",North America
,Not technical,"Yes, crypto is my full-time job",North America
,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",
,Strongly technical,"No, but I work in a related field",
,,,
,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",
,Somewhat technical or just as a hobby,,
,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",Southeast Asia
,Strongly technical,"No, but I work in a related field",
,Strongly technical,"No, but I work in a related field",
,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",North America
,,,
,Strongly technical,"No, but I work in a related field",Australia (continent)
,Strongly technical,"Yes, crypto is my full-time job",Southeast Asia
,Strongly technical,,North America
,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
,Somewhat technical or just as a hobby,I do some freelance or contract work but have another main source of income,Western Asia
,Strongly technical,"No, but I work in a related field",
,Strongly technical,"Yes, crypto is my full-time job",
,Strongly technical,"No, but I work in a related field",North America
,Strongly technical,I do some freelance or contract work but have another main source of income,North America
,Strongly technical,"Yes, crypto is my full-time job",North America
,,,
,Somewhat technical or just as a hobby,I do some freelance or contract work but have another main source of income,North America
,,,
,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",
,Strongly technical,"Yes, crypto is my full-time job",North America
,,,
,,,
,Strongly technical,"Yes, crypto is my full-time job",
,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",
,Strongly technical,"Yes, crypto is my full-time job",
,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
,Strongly technical,"No, but I work in a related field",
,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",
,,,
,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",East Asia
,,,
,,,
,Strongly technical,I do some freelance or contract work but have another main source of income,
,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",Europe
,Somewhat technical or just as a hobby,"Yes, crypto is my full-time job",Australia (continent)
,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",
,Not technical,I do some freelance or contract work but have another main source of income,
,Strongly technical,"Yes, crypto is my full-time job",
,Strongly technical,"Yes, crypto is my full-time job",North America
,,,
,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",North America
,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",
,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",
,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
,,,
,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",
,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Southeast Asia
,Strongly technical,I do some freelance or contract work but have another main source of income,
,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
,Somewhat technical or just as a hobby,,
,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Australia (continent)
,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",
,,,
,Strongly technical,,
,,,
,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",
,,,
,,,
,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
,Strongly technical,"No, and I work in an unrelated field (or am not otherwise employed)",
,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",
,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",
,Strongly technical,"No, but I work in a related field",North America
,Strongly technical,"Yes, crypto is my full-time job",
,Somewhat technical or just as a hobby,"No, but I work in a related field",
,Somewhat technical or just as a hobby,"No, and I work in an unrelated field (or am not otherwise employed)",
,Strongly technical,"Yes, crypto is my full-time job",North America
,,,
,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",Southern Africa
,Somewhat technical or just as a hobby,I do some freelance or contract work but have another main source of income,
,Not technical,"No, and I work in an unrelated field (or am not otherwise employed)",Europe
,,,
,Strongly technical,"Yes, crypto is my full-time job",North America
,Strongly technical,I do some freelance or contract work but have another main source of income,
